institution;period;sek;doi;is_hybrid;publisher;
bth;2024;31036;10.1109/MS.2023.3346646;TRUE;IEEE;
bth;2024;11620;10.3390/ai5010012;FALSE;MDPI;
bth;2024;31422;10.1080/00927872.2024.2315311;TRUE;Taylor & Francis;
bth;2024;20666;10.1109/ACCESS.2024.3357939;FALSE;IEEE;
bth;2024;21095;10.1109/ACCESS.2024.3380167;FALSE;IEEE;
bth;2024;21568;10.2196/50297;FALSE;JMIR;
bth;2024;14065;10.1109/JSTARS.2023.3324732;FALSE;IEEE;
bth;2024;29155;10.3390/app14072748;FALSE;MDPI;
bth;2024;30335;10.3390/s24123941;FALSE;MDPI;
bth;2024;21022;10.1109/ACCESS.2024.3427416;FALSE;IEEE;
bth;2024;21107;10.3390/educsci14070775;FALSE;MDPI;
bth;2024;25322;10.3390/app14135469;FALSE;MDPI;
bth;2024;27467;10.1109/LGRS.2024.3431683;TRUE;IEEE;
bth;2024;22731;10.1504/IJPD.2024.142760;TRUE;Inderscience;
bth;2024;25711;10.1109/LGRS.2024.3482091;TRUE;IEEE;
bth;2024;29665;10.3390/app14219909;FALSE;MDPI;
bth;2024;26759;10.3390/electronics13244874;FALSE;MDPI;